Household Key,Mail Responder,Motorcycle Indicator,Income,Credit Ranges,age,Number of Children,Num Vehicles Owned,FSV Services Purchased,Home Owner_Probable Home Owner,Home Owner_Probable Renter,Home Owner_Renter,Home Owner_nan,Dwelling Type_Multy-Family Apt,Dwelling Type_PO Box,Dwelling Type_Single-Family Home,Dwelling Type_nan,Education_Graduated School,Education_High School,Education_Some College,Education_Unknown,Education_nan,Gender_Male,Gender_Unknown,Gender_nan,Bought FSV,Total Cost
20173295.0,1,1,95.0,715.625,42.0,2.0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,90.0
20178143.0,1,0,205.0,750.0,77.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,118.0
20202172.0,1,0,55.0,662.5,90.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,53.0
20213639.0,1,0,55.0,675.0,77.0,0.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,34.0
20215064.0,1,0,65.0,725.0,78.0,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,53.0
20217235.0,1,0,45.0,725.0,95.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0
20217270.0,1,0,55.0,675.0,86.5,0.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,30.0
20228276.0,1,1,65.0,687.5,69.0,0.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,111.85
20242943.0,1,1,155.0,800.0,78.5,2.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,111.85
20243801.0,1,0,75.0,775.0,59.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0
20244342.0,1,0,105.0,662.5,65.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
20245431.0,1,1,95.0,764.5833333333335,81.36363636363636,1.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,449.70000000000016
20247354.0,1,1,15.0,525.0,41.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,96.0
20247887.0,1,0,55.0,633.3333333333334,83.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,53.0
20249201.0,0,1,25.0,775.0,82.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,247.85
20251069.0,1,0,55.0,625.0,67.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0
20251462.0,1,1,35.0,725.0,70.0,0.0,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,159.0
20258512.0,1,1,250.0,760.7142857142858,60.0,2.0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,155.02
20270337.0,1,0,60.0,675.0,71.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,53.0
20272662.0,1,0,75.0,675.0,68.71428571428571,0.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,221.0
20272843.0,1,1,45.0,752.2727272727273,47.0,3.0,2,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,455.0
20274429.0,1,0,55.0,687.5,72.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,53.0
20280280.0,1,0,105.0,691.6666666666665,92.0,0.0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,108.0
20299106.0,1,0,100.0,790.0,62.75,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0
20327350.0,1,0,105.0,666.6666666666666,47.0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,72.0
20334663.0,1,0,65.0,662.5,83.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,33.0
20348450.0,1,0,95.0,825.0,75.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,53.0
20375044.0,1,1,75.0,662.5,94.0,1.0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,111.85
20389738.0,1,1,95.0,658.3333333333334,79.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,101.46
